Name,AC,HP,STR,DEX,CON,INT,WIS,CHA
"Misc. Creature-Mastiff",12,5,13,14,12,3,12,7
"Misc. Creature-Mule",10,11,14,10,13,2,10,5
"Misc. Creature-Octopus",12,3,4,15,11,3,10,4
"Misc. Creature-Owl",11,1,3,13,8,2,12,7
"Misc. Creature-Panther",12,13,14,15,10,3,14,7
"Misc. Creature-Phase Spider",13,32,15,15,12,6,10,6
"Misc. Creature-Poisonous Snake",13,13,2,16,11,1,10,3
"Misc. Creature-Polar Bear",12,42,20,10,16,2,13,7
"Misc. Creature-Pony",10,11,15,10,13,2,11,7
"Misc. Creature-Quipper",13,1,2,16,9,1,7,2
"Misc. Creature-Rat",10,1,2,11,9,2,10,4
"Misc. Creature-Raven",12,1,2,14,8,2,12,6
"Misc. Creature-Reef Shark",12,22,14,13,13,1,10,4
"Misc. Creature-Rhinoceros",11,45,21,8,15,2,12,6
"Misc. Creature-Riding Horse",10,13,16,10,12,2,11,7
"Misc. Creature-Saber-Toothed Tiger",12,52,18,14,15,3,12,8
"Misc. Creature-Scorpion",11,1,2,11,8,1,8,2
"Misc. Creature-Sea Horse",11,1,1,12,8,1,10,2
"Misc. Creature-Spider",12,1,2,14,8,1,10,2
"Misc. Creature-Swarm of Bats",12,22,5,15,10,2,12,4
"Misc. Creature-Swarm of Insects",12,22,3,13,10,1,7,1
"Misc. Creature-Swarm of Poisonous Snakes",14,36,8,18,11,1,10,3
"Misc. Creature-Swarm of Quippers",13,28,13,16,9,1,7,2
"Misc. Creature-Swarm of Rats",10,24,9,11,9,2,10,3
"Misc. Creature-Swarm of Ravens",12,24,6,14,8,3,12,6
"Misc. Creature-Tiger",12,37,17,15,14,3,12,8
"Misc. Creature-Vulture",10,5,7,10,13,2,12,4
"Misc. Creature-Warhorse",11,19,18,12,13,2,12,7
"Misc. Creature-Weasel",13,1,3,16,8,2,12,3
"Misc. Creature-Winter Wolf",13,75,18,13,14,7,12,8
"Misc. Creature-Wolf",13,11,12,15,12,3,12,6
"Misc. Creature-Worg",13,26,16,13,13,7,11,8
"Modron-Duodrone",15,11,11,13,12,6,10,7
"Modron-Monodrone",15,5,1,13,12,4,10,5
"Modron-Pentadrone",16,32,15,14,12,10,10,13
"Modron-Quadrone",16,22,12,14,12,10,10,11
"Modron-Tridrone",15,16,12,13,12,9,10,9
Mongrelfolk,11,26,12,9,15,9,10,6
Morkoth,17,130,14,14,14,20,15,13
Mummy,11,58,16,8,15,6,10,12
Mummy Lord,17,97,18,10,17,11,18,16
Myconid Adult,12,22,10,10,12,10,13,7
Myconid Sovereign,13,60,12,10,14,13,15,10
Myconid Sprout,10,7,8,10,10,8,11,5
Naergoth Bladelord,18,135,20,12,16,12,14,16
"Naga-Bone",15,58,15,16,12,15,15,16
"Naga-Guardian",18,127,19,18,16,16,19,18
"Naga-Spirit",15,75,18,17,14,16,15,16
Nagpa,19,187,9,15,12,23,18,21
Neogi,15,33,6,16,14,13,12,15
Neogi Hatchling,11,7,3,13,10,6,10,9
Neogi Master,15,71,6,16,14,16,12,18
Neothelid,16,325,27,7,21,3,16,12
Nereid,13,44,10,17,12,13,14,16
Nightmare,13,68,18,15,16,10,13,15
Nightwalker,14,297,22,19,24,6,9,8
Nilbog,13,7,8,14,10,10,8,15
Nothic,15,45,14,16,16,13,10,8
"NPC-Abjurer",12,84,9,14,14,18,12,11
"NPC-Acolyte",10,9,10,10,10,10,14,11
"NPC-Apprentice Wizard",10,9,10,10,10,14,10,11
"NPC-Archdruid",16,132,10,14,12,12,20,11
"NPC-Archer",16,75,11,18,16,11,13,10
"NPC-Archmage",12,99,10,14,12,20,15,16
"NPC-Assassin",15,78,11,16,14,13,11,10
"NPC-Bandit",12,11,11,12,12,10,10,10
"NPC-Bandit Captain",15,65,15,16,14,14,11,14
"NPC-Bard",15,44,11,14,12,10,13,14
"NPC-Berserker",13,67,16,12,17,9,11,9
"NPC-Blackguard",18,153,18,11,18,11,14,15
"NPC-Champion",18,143,20,15,14,10,14,12
"NPC-Commoner",10,4,10,10,10,10,10,10
"NPC-Conjurer",12,40,9,14,11,17,12,11
"NPC-Cult Fanatic",13,33,11,14,12,10,13,14
"NPC-Cultist",12,9,11,12,10,10,11,10
"NPC-Diviner",12,67,9,14,11,18,12,11
"NPC-Druid",11,27,10,12,13,12,15,11
"NPC-Enchanter",12,40,9,14,11,17,12,11
"NPC-Evoker",12,66,9,14,12,17,12,11
"NPC-Gladiator",16,112,18,15,16,10,12,15
"NPC-Guard",16,11,13,12,12,10,11,10
"NPC-Illusionist",12,38,9,14,13,16,11,12
"NPC-Knight",18,52,16,11,14,11,11,15
"NPC-Kraken Priest",10,75,12,10,16,10,15,14
"NPC-Mage",12,40,9,14,11,17,12,11
"NPC-Martial Arts Adept",16,60,11,17,13,11,16,10
"NPC-Master Thief",16,84,11,18,14,11,11,12
"NPC-Necromancer",12,66,9,14,12,17,12,11
"NPC-Noble",15,9,11,12,11,12,14,16
"NPC-Priest",13,27,10,10,12,13,16,13
"NPC-Scout",13,16,11,14,12,11,13,11
"NPC-Spy",12,27,10,15,10,12,14,16
"NPC-Swashbuckler",17,66,12,18,12,14,11,15
"NPC-Thug",11,32,15,11,14,10,10,11
"NPC-Transmuter",12,40,9,14,11,17,12,11
"NPC-Tribal Warrior",12,11,13,11,12,8,11,8
"NPC-Veteran",17,58,16,13,14,10,11,10
"NPC-War Priest",18,117,16,10,14,11,17,13
"NPC-Warlock of the Archfey",11,49,9,13,11,11,12,18
"NPC-Warlock of the Fiend",12,78,10,14,15,12,12,18
"NPC-Warlock of the Great Old One",12,91,9,14,15,12,12,18
"NPC-Warlord",18,229,20,16,18,12,12,18
Oblex Spawn,13,18,8,16,15,14,11,10
"Oblex-Adult",14,75,8,19,16,19,12,15
"Oblex-Elder",16,115,15,16,21,22,13,18
Ogre,11,59,19,8,16,5,7,7
Ogre Battering Ram,14,59,19,8,16,5,7,7
Ogre Bolt Launcher,13,59,19,12,16,5,7,7
Ogre Chain Brute,11,59,19,8,16,5,7,7
Ogre Howdah,13,59,19,8,16,5,7,7
"Ogre-Half",12,30,17,10,14,7,9,10
Oni,16,110,19,11,16,14,12,15
Ooze Master,9,138,16,1,20,17,10,16
"Ooze-Black Pudding",7,85,16,5,16,1,6,1
"Ooze-Gelatinous Cube",6,84,14,3,20,1,6,1
"Ooze-Gray",8,22,12,6,16,1,6,2
"Ooze-Ochre Jelly",8,45,15,6,14,2,6,1
Orc,13,15,16,12,16,7,11,10
Orc Blade of Ilneval,18,60,17,11,17,10,12,14
Orc Claw of Luthic,14,45,14,15,16,10,15,11
Orc Eye of Gruumsh,16,45,16,12,16,9,13,12
Orc Hand of Yurtrus,12,30,12,11,16,11,14,9
Orc Nurtured One of Yurtrus,9,30,15,8,16,7,11,7
Orc Red Fang of Shargaas,15,52,11,16,15,9,11,9
Orc War Chief,16,93,18,12,18,11,11,16
"Orc-Orog",18,42,18,12,18,12,11,12
"Orc-Tanarukk",14,95,18,13,20,9,9,9
Otyugh,14,114,16,11,19,6,13,6
Owlbear,13,59,20,12,17,3,12,7
Pegasus,12,59,18,15,16,10,15,13
Peryton,13,33,16,12,13,9,12,10
Phantom Warrior,16,45,16,11,16,8,10,15
Piercer,15,22,10,13,16,1,7,3
Pixie,15,1,2,20,8,10,14,15
"Prince of Apocalypse-Imix",17,325,19,24,22,15,16,23
"Prince of Apocalypse-Ogremoch",20,526,26,11,28,11,15,22
"Prince of Apocalypse-Olhydra",18,324,21,22,24,17,18,23
"Prince of Apocalypse-Yan-C-BIn",22,283,18,24,24,16,21,23
Pseudodragon,13,7,6,15,13,10,12,10
Pterafolk,12,26,15,13,12,9,10,11
Purple Worm,18,247,28,7,22,1,8,4
"Purple Worm-Wormling",12,42,16,7,16,1,6,2
Quaggoth,13,45,17,12,16,6,12,7
Quickling,16,10,4,23,13,10,12,7
Rakshasa,16,110,14,17,18,13,16,20
Redcap,13,45,18,13,18,10,12,9
Remorhaz,17,195,24,13,21,4,10,5
"Remorhaz-Young",14,93,18,13,17,3,10,4
Retriever,19,210,22,16,20,3,11,4
Revenant,13,136,18,14,18,13,16,18
Roc,15,248,28,10,20,3,10,9
Roper,20,93,18,8,17,7,16,6
Rust Monster,14,27,13,12,13,2,13,6
Sahuagin,12,22,13,11,12,12,13,9
Sahuagin Baron,16,76,19,15,16,14,13,17
Sahuagin Priestess,12,33,13,11,12,12,14,13
Salamander,15,90,18,14,15,11,10,12
"Salamander-Fire Snake",14,22,12,14,11,7,10,8
"Salamander-Frost",17,168,20,12,18,7,11,7
Satyr,14,31,12,16,11,12,10,14
Scarecrow,11,36,11,13,11,10,10,13
Sea Lion,15,90,17,15,15,3,12,8
Sea Spawn,11,32,15,8,15,6,10,8
Shadar-Kai Gloom Weaver,14,104,11,18,14,15,12,18
Shadar-Kai Shadow Dancer,15,71,12,16,13,11,12,12
Shadar-Kai Soul Monger,15,123,8,17,14,19,15,13
Shadow,12,16,6,14,13,6,10,8
Shadow Mastiff,12,33,16,14,13,5,12,5
Shadow Mastiff Alpha,12,48,16,14,13,6,12,5
Shambling Mound,15,136,18,8,16,5,10,5
Shield Guardian,17,142,18,8,18,7,1,
Siren,14,38,10,18,12,13,14,16
Skeleton,13,13,10,14,15,6,8,5
"Skeleton-Giant",17,115,21,10,20,4,6,6
"Skeleton-Minotaur",12,67,18,11,15,6,8,5
"Skeleton-Warhorse",13,22,18,12,15,2,8,5
Skulk,14,18,6,19,10,10,7,1
Skull Lord,18,105,14,16,17,16,15,21
Slaad Tadpole,12,10,7,15,10,3,5,3
"Slaad-Blue",15,123,20,15,18,7,7,9
"Slaad-Death",18,170,20,15,19,15,10,16
"Slaad-Gray",18,127,17,17,16,13,8,14
"Slaad-Green",16,127,18,15,16,11,8,12
"Slaad-Red",14,93,16,12,16,6,6,7
Slithering Tracker,14,32,16,19,15,10,14,11
"Sorrowsworn-The Angry",18,255,17,10,19,8,13,6
"Sorrowsworn-The Hungry",17,225,19,10,17,6,11,6
"Sorrowsworn-The Lonely",16,112,16,12,17,6,11,6
"Sorrowsworn-The Lost",15,78,17,12,15,6,7,5
"Sorrowsworn-The Wretched",15,10,7,12,9,5,6,5
Spawn of Kyuss,10,76,16,11,18,5,7,3
Specter,12,22,1,14,11,10,10,11
"Sphinx-Andro",17,199,22,10,20,16,18,23
"Sphinx-Gyno",17,136,18,15,16,18,18,18
Sprite,15,2,3,18,10,14,13,11
Star Spawn Grue,11,17,6,13,10,9,11,6
Star Spawn Hulk,16,136,20,8,21,7,12,9
Star Spawn Larva Mage,16,168,17,12,23,18,12,16
Star Spawn Mangler,14,71,8,18,12,11,12,7
Star Spawn Seer,17,153,14,12,18,22,19,16
"Steeder-Female",14,30,15,16,14,2,10,3
"Steeder-Male",12,13,15,12,14,2,10,3
Steel Predator,20,207,24,17,22,4,14,6
Stirge,14,2,4,16,11,2,8,6
Stone Cursed,17,19,16,5,14,5,8,7
Stone Juggernaut,15,157,22,1,21,2,11,3
Strahd's Animated Armor,21,112,17,13,16,9,10,9
Su-Monster,12,27,14,15,12,9,13,9
Succubus/Incubus,15,66,8,17,13,15,12,20
Sword Wraith Commander,18,127,18,14,18,11,12,14
Sword Wraith Warrior,16,45,18,12,17,6,9,10
Tabaxi Hunter,14,40,10,17,11,13,14,15
Tabaxi Minstrel,12,22,10,15,11,14,12,16
Tarrasque,25,676,30,11,30,3,11,11
Tecuziztecatl,13,102,17,10,16,15,16,13
Thayan Apprentice,12,27,10,14,12,15,13,11
Thayan Warrior,16,52,16,13,14,10,11,11
Thorn Slinger,11,32,13,12,12,1,10,1
Thorny,14,27,13,12,13,2,10,6
Thri-Kreen,15,33,12,15,13,8,12,7
Tiamat,25,615,30,10,30,26,26,28
Tiny Servant,15,10,4,16,10,2,10,1
Tlincalli,15,85,16,13,16,8,12,8
Topi,13,13,7,15,12,6,10,5
Tortle,17,22,15,10,12,11,13,12
Tortle Druid,17,33,14,10,12,11,15,12
Trapper,13,85,17,10,17,2,13,4
Treant,16,138,23,8,21,12,16,12
Tressym,12,5,3,15,10,11,12,12
Tri-Flower Frond,10,11,1,10,12,1,10,1
Troglodyte,11,13,14,10,14,6,10,6
Troglodyte Champion of Laogzed,14,59,18,12,18,8,12,12
Troll,15,84,18,13,20,7,9,7
"Troll-Dire",15,172,22,15,21,9,11,5
"Troll-Rot",16,138,18,13,22,5,8,4
"Troll-Spirit",17,97,1,17,13,8,9,16
"Troll-Venom",15,94,18,13,20,7,9,7
Umber Hulk,18,93,20,13,16,9,10,10
Unicorn,12,67,18,14,15,11,17,16
Uthgardt Shaman,13,38,14,12,13,10,15,12
Vampire,16,144,18,18,18,17,15,18
Vampire Spawn,15,82,16,16,16,11,10,12
Vampiric Mist,13,30,6,16,16,6,12,7
Vargouille,12,13,6,14,14,4,7,2
Vegepygmy,13,9,7,14,13,6,11,7
Vegepygmy Chief,14,33,14,14,14,7,12,9
Water Weird,13,58,17,16,13,11,10,10
White Maw,5,217,18,1,20,12,10,3
Wight,14,45,15,14,16,10,13,15
Will-O'-Wisp,19,22,1,28,10,13,14,11
Wood Woad,18,75,18,12,16,10,13,8
Wraith,13,67,6,16,16,12,14,15
Wyvern,13,110,19,1,16,5,12,6
Xorn,19,73,17,10,22,11,10,11
Xvart,13,7,8,14,10,8,7,7
Xvart Speaker,13,7,8,14,10,13,7,7
Xvart Warlock of Raxivort,12,22,8,14,12,8,11,12
Yakfolk Priest,12,52,16,11,15,14,18,14
Yakfolk Warrior,11,60,18,11,15,14,15,14
Yellow Musk Creeper,6,60,12,3,12,1,10,3
Yellow Musk Zombie,9,33,13,9,12,1,6,3
Yeth Hound,14,51,18,17,16,5,12,7
Yeti,12,51,18,13,16,8,12,7
"Yeti-Abominable",15,137,24,10,22,9,13,9
Yuan-Ti Abomination,15,127,19,16,17,17,15,18
Yuan-Ti Anathema,16,189,23,13,19,19,17,20
Yuan-Ti Broodguard,14,45,15,14,14,6,11,4
Yuan-Ti Malison,12,66,16,14,13,14,12,16
Yuan-Ti Mind Whisperer,14,71,16,14,13,14,12,16
Yuan-Ti Nightmare Speaker,14,71,16,14,13,14,12,16
Yuan-Ti Pit Master,14,88,16,14,13,14,12,16
Yuan-Ti Pureblood,11,40,11,12,11,13,12,14
"Yugoloth-Arcana",17,104,17,12,14,20,16,17
"Yugoloth-Cano",16,120,18,10,17,5,17,12
"Yugoloth-Dhergo",15,119,17,10,19,7,10,9
"Yugoloth-Hydro",15,135,12,21,16,19,10,14
"Yugoloth-Merreno",13,40,8,17,10,17,14,11
"Yugoloth-Mezzo",18,75,18,11,16,7,10,11
"Yugoloth-Nyca",18,123,20,11,19,12,10,15
"Yugoloth-Oino",17,126,19,17,18,17,16,19
"Yugoloth-Ultro",19,153,16,16,18,18,15,19
"Yugoloth-Yagno",17,147,19,14,21,16,15,18
Zombie,8,22,13,6,16,3,6,5
"Zombie-Ankylosaurus",14,68,19,9,15,2,6,3
"Zombie-Beholder",15,93,10,8,16,3,8,5
"Zombie-Girallon",11,59,18,12,16,3,7,5
"Zombie-Greater",15,97,18,10,17,4,6,6
"Zombie-Ogre",8,93,19,6,18,3,6,5
"Zombie-Strahd",8,30,13,6,16,3,6,5
"Zombie-Tyrannosaurus",11,136,25,6,19,1,3,5
Zorbo,10,27,13,11,13,3,12,7
"Zuggtmoy-Bridesmaid",13,22,14,11,11,14,8,18
"Zuggtmoy-Chamberlain",13,45,17,7,14,11,8,12
